N,seed,weight_reg_one,val_loss_inverse_distortion,val_loss_inverse_distortion_clamped,val_reg_one,val_reg_one_clamped,val_reg_zero,val_reg_zero_clamped
10,369,0.0,0.00012067049101460725,0.00018331971659790725,7.630758762359619,7.602146625518799,0.3776192367076874,0.375870943069458
10,492,0.0,0.00015876458201091737,0.00015876458201091737,0.042257629334926605,0.042257629334926605,0.37439876794815063,0.37439876794815063
10,615,0.0,0.0001602408883627504,0.0001602408883627504,0.17356395721435547,0.17356395721435547,0.37792524695396423,0.37792524695396423
10,738,0.0,0.000205962365726009,0.000205962365726009,0.048490479588508606,0.048490479588508606,0.3736779987812042,0.3736779987812042
10,861,0.0,0.00016100100765470415,0.00016100100765470415,0.03480443358421326,0.03480443358421326,0.3757413625717163,0.3757413625717163
10,984,0.0,0.0001255701936315745,0.0002074179210467264,2.0360400676727295,2.0360400676727295,0.3740370571613312,0.3722047805786133
10,123,0.25,0.08692604303359985,0.25282904505729675,0.006653491873294115,0.006653491873294115,1.840227723121643,0.5538440942764282
10,246,0.25,0.00045906362356618047,0.00045906362356618047,0.0017446413403376937,0.0017446413403376937,0.40212440490722656,0.40212440490722656
10,369,0.25,0.08701063692569733,0.2535174489021301,0.007414653897285461,0.007414653897285461,1.8507765531539917,0.5525625348091125
10,492,0.25,0.00043113180436193943,0.00043113180436193943,0.0018263977253809571,0.0018263977253809571,0.4008641839027405,0.4008641839027405
10,615,0.25,0.0005666254437528551,0.0005666254437528551,0.0017126324819400907,0.0017126324819400907,0.404356449842453,0.404356449842453
10,738,0.25,0.000508322671521455,0.000508322671521455,0.0020017805509269238,0.0020017805509269238,0.400106817483902,0.400106817483902
10,861,0.25,0.00043056748108938336,0.00043056748108938336,0.0016621509566903114,0.0016621509566903114,0.4054884612560272,0.4054884612560272
10,984,0.25,0.0006903915200382471,0.0006903915200382471,0.0024274755269289017,0.0024274755269289017,0.39292284846305847,0.39292284846305847
11,123,0.0,0.0001645108131924644,0.0001645108131924644,0.1414739489555359,0.1414739489555359,0.36945492029190063,0.36945492029190063
11,246,0.0,0.0005195693229325116,0.0005195693229325116,2.4206953048706055,2.4206953048706055,0.36504244804382324,0.36504244804382324
11,369,0.0,0.0004966336418874562,0.0004966336418874562,2.43013596534729,2.43013596534729,0.36622297763824463,0.36622297763824463
11,492,0.0,0.0002388039429206401,0.0002388039429206401,3.6624107360839844,3.6624107360839844,0.36919236183166504,0.36919236183166504
11,615,0.0,0.00017924186249729246,0.00017924186249729246,4.196148872375488,4.196148872375488,0.37175673246383667,0.37175673246383667
11,738,0.0,0.0001347820070805028,0.0001347820070805028,0.10956433415412903,0.10956433415412903,0.37007516622543335,0.37007516622543335
11,861,0.0,0.00013409147504717112,0.00013409147504717112,4.768553256988525,4.768553256988525,0.3706035614013672,0.3706035614013672
11,984,0.0,0.0001206185988849029,0.0001206185988849029,0.01825118437409401,0.01825118437409401,0.3697548508644104,0.3697548508644104
11,123,0.25,0.0004701949073933065,0.0004701949073933065,0.0019167738500982523,0.0019167738500982523,0.38394659757614136,0.38394659757614136
11,246,0.25,0.0005312068969942629,0.0005312068969942629,0.0016609453596174717,0.0016609453596174717,0.38396286964416504,0.38396286964416504
11,369,0.25,0.00258689746260643,0.00258689746260643,0.005164619535207748,0.005164619535207748,0.36438271403312683,0.36438271403312683
11,492,0.25,0.0004885879461653531,0.0004885879461653531,0.002039950806647539,0.002039950806647539,0.39028045535087585,0.39028045535087585
11,615,0.25,0.002369560766965151,0.002369560766965151,0.005951855331659317,0.005951855331659317,0.37145155668258667,0.37145155668258667
11,738,0.25,0.002323764842003584,0.002323764842003584,0.005336153320968151,0.005336153320968151,0.3659607768058777,0.3659607768058777
